rodent_id,trap_number,trap_night,initial_species_id,group,weight,head_body,tail,hind_foot,ear,length_skull,sex,testes,seminal_vesicles,vagina_perforate,teats_visible,pairs_teats,number_embryos,photos_taken,notes,visit,all_samples,date_entered,study_site,village,trap_uid,dorsal_image_id,ventral_image_id,cut_tail,key,genus,family,habitat_group.x,trap_land_type.x,weather.x,lon.x,lat.x,habitat_group.y,trap_land_type.y,weather.y,lon.y,lat.y
LAL-01,21,1,lophuromys_spp,rodent,79,140,78,22,17,40,male,outside,not_noted,na,na,NA,NA,y,NA,1,yes,2020-12-01,1,lalehun,lalehun_1_1_1_21,NA,NA,NA,NA,lophuromys,muridae,Village,bush,rain,-11.079483333333334,8.196283333333334,Village,bush,rain,-11.079483333333334,8.196283333333334
LAL-02,46,1,crocidura_spp,shrew,39,137,84,20,11,44,male,inside,not_noted,na,na,NA,NA,y,NA,1,yes,2020-12-01,1,lalehun,lalehun_1_1_1_46,NA,NA,NA,NA,crocidura,soricidae,Village,by_tree,rain,-11.079133333333333,8.196283333333334,Village,by_tree,rain,-11.079133333333333,8.196283333333334
LAL-03,102,1,lemniscomys_spp,rodent,55,118,123,26,18,29,female,na,na,open,visible,NA,6,y,NA,1,no,2020-12-02,2,lalehun,lalehun_1_1_2_102,NA,NA,NA,NA,lemniscomys,muridae,Proximal agriculture,rice_field,dry,-11.0789,8.198683333333333,Proximal agriculture,rice_field,dry,-11.0789,8.198683333333333
LAL-04,106,1,lophuromys_spp,rodent,60.5,138,69,22,14,39,male,outside,developed,na,na,NA,NA,y,NA,1,yes,2020-12-02,2,lalehun,lalehun_1_1_2_106,NA,NA,NA,NA,lophuromys,muridae,Proximal agriculture,"bush, by_running_water, rice_field",dry,-11.078833333333334,8.198783333333333,Proximal agriculture,"bush, by_running_water, rice_field",dry,-11.078833333333334,8.198783333333333
LAL-05,184,1,crocidura_spp,shrew,12,84,54,14,9,29,male,inside,not_noted,na,na,NA,NA,y,NA,1,no,2020-12-02,3b,lalehun,lalehun_1_1_3b_184,NA,NA,NA,NA,crocidura,soricidae,Proximal agriculture,by_compound,dry,-11.080316666666667,8.199316666666666,Proximal agriculture,by_compound,dry,-11.080316666666667,8.199316666666666
LAL-06,28,3,mus_spp,rodent,14,75,58,13,11,24,female,na,na,not_noted,visible,NA,3,y,NA,1,yes,2020-12-03,1,lalehun,lalehun_1_3_1_28,NA,NA,NA,NA,mus_spp,mus_spp,Village,"near_structure, old_latrine",dry,-11.0792,8.196516666666668,Village,"near_structure, old_latrine",dry,-11.0792,8.196516666666668
LAL-07,40,3,mus_spp,rodent,14,78,60,10.4,10,10.5,male,outside,not_noted,na,na,NA,NA,y,NA,1,yes,2020-12-03,1,lalehun,lalehun_1_3_1_40,NA,NA,NA,NA,mus_spp,mus_spp,Village,thick_bush,dry,-11.079116666666666,8.196333333333333,Village,thick_bush,dry,-11.079116666666666,8.196333333333333
LAL-08,45,3,crocidura_spp,shrew,27,120,80,10.6,10,35,male,inside,not_noted,na,na,NA,NA,y,NA,1,yes,2020-12-03,1,lalehun,lalehun_1_3_1_45,NA,NA,NA,NA,crocidura,soricidae,Village,"by_tree, by_path",dry,-11.07915,8.1962,Village,"by_tree, by_path",dry,-11.07915,8.1962
LAL-09,57,2,lophuromys_spp,rodent,70,132,34,21,22,35,male,outside,not_noted,na,na,NA,NA,y,cut_tail,1,yes,2020-12-03,2,lalehun,lalehun_1_2_2_57,NA,NA,NA,NA,lophuromys,muridae,Proximal agriculture,rice_field,dry,-11.079283333333333,8.1988,Proximal agriculture,rice_field,dry,-11.079283333333333,8.1988
LAL-10,104,2,lophuromys_spp,rodent,74,139,60,20,17,35,male,outside,developed,na,na,NA,NA,y,NA,1,yes,2020-12-03,2,lalehun,lalehun_1_2_2_104,NA,NA,NA,NA,lophuromys,muridae,Proximal agriculture,"rice_field, by_running_water",dry,-11.078916666666666,8.1988,Proximal agriculture,"rice_field, by_running_water",dry,-11.078916666666666,8.1988
LAL-11,105,2,lophuromys_spp,rodent,55,124,80,22,19,34,female,na,na,open,barely_visible,NA,0,y,NA,1,yes,2020-12-03,2,lalehun,lalehun_1_2_2_105,NA,NA,NA,NA,lophuromys,muridae,Proximal agriculture,"rice_field, by_running_water",dry,-11.078883333333334,8.19885,Proximal agriculture,"rice_field, by_running_water",dry,-11.078883333333334,8.19885
LAL-12,134,2,crocidura_spp,shrew,29,119,74,17,11,34,female,na,na,open,visible,NA,3,y,NA,1,yes,2020-12-03,2,lalehun,lalehun_1_2_2_134,NA,NA,NA,NA,crocidura,soricidae,Proximal agriculture,"by_path, banana_plantation",dry,-11.079483333333334,8.198783333333333,Proximal agriculture,"by_path, banana_plantation",dry,-11.079483333333334,8.198783333333333
LAL-13,184,2,crocidura_spp,shrew,25,117,67,17,10,34,female,na,na,not_noted,not_noted,NA,0,y,NA,1,yes,2020-12-03,3b,lalehun,lalehun_1_2_3b_184,NA,NA,NA,NA,crocidura,soricidae,Proximal agriculture,by_compound,dry,-11.080316666666667,8.199316666666666,Proximal agriculture,by_compound,dry,-11.080316666666667,8.199316666666666
LAL-14,248,1,crocidura_spp,shrew,25,114,50,16,10,29,male,inside,not_noted,na,na,NA,NA,y,NA,1,yes,2020-12-03,6,lalehun,lalehun_1_1_6_248,NA,NA,NA,NA,crocidura,soricidae,Village,"banana_garden, by_road",dry,-11.079866666666666,8.198483333333334,Village,"banana_garden, by_road",dry,-11.079866666666666,8.198483333333334
LAL-15,252,1,crocidura_spp,shrew,17,93,55,14,7,25,male,inside,not_noted,na,na,NA,NA,y,NA,1,yes,2020-12-03,6,lalehun,lalehun_1_1_6_252,NA,NA,NA,NA,crocidura,soricidae,Village,low_shrubs,dry,-11.080366666666666,8.198133333333333,Village,low_shrubs,dry,-11.080366666666666,8.198133333333333
LAL-16,263,1,crocidura_spp,shrew,10.1,89,57,14,7,29,male,inside,not_noted,na,na,NA,NA,y,NA,1,yes,2020-12-03,6,lalehun,lalehun_1_1_6_263,NA,NA,NA,NA,crocidura,soricidae,Village,"low_shrubs, by_chicken_shed",dry,-11.0803,8.196816666666667,Village,"low_shrubs, by_chicken_shed",dry,-11.0803,8.196816666666667
LAL-17,11,4,mus_spp,rodent,13,73,56,16,12,25,female,na,na,open,not_noted,NA,5,y,NA,1,yes,2020-12-04,1,lalehun,lalehun_1_4_1_11,NA,NA,NA,NA,mus_spp,mus_spp,Village,shrubs,dry,-11.0794,8.19645,Village,shrubs,dry,-11.0794,8.19645
LAL-18,57,3,lophuromys_spp,rodent,67,133,70,23,17,33,male,outside,developed,na,na,NA,NA,y,NA,1,yes,2020-12-04,2,lalehun,lalehun_1_3_2_57,NA,NA,NA,NA,lophuromys,muridae,Proximal agriculture,rice_field,dry,-11.079283333333333,8.1988,Proximal agriculture,rice_field,dry,-11.079283333333333,8.1988
LAL-19,59,3,lophuromys_spp,rodent,73,132,72,24,17,37,female,na,na,open,not_noted,NA,3,y,NA,1,yes,2020-12-04,2,lalehun,lalehun_1_3_2_59,NA,NA,NA,NA,lophuromys,muridae,Proximal agriculture,rice_field,dry,-11.079283333333333,8.198716666666666,Proximal agriculture,rice_field,dry,-11.079283333333333,8.198716666666666
